Formula,JARVIS-ID,spg_symbol,nwan,vqe_max_val(cm-1),vqe_min_val(cm-1),np_max_vals(cm-1),np_min_vals(cm-1)
TlSe,JVASP-16288,Pm-3m,16,16.76211509,-0.01605073,16.76211541,-0.016128307
F,JVASP-33718,Cmce,24,-5.29E-07,-10.90739384,0,-10.90921903
Dy,JVASP-16333,Im-3m,16,20.06036817,-18.06567343,20.06036872,-18.06751041
LiPb,JVASP-1384,Pm-3m,10,11.22293357,-4.929111628,11.2229347,-4.929185437
PtN,JVASP-17195,Fm-3m,18,11.22823821,9.51E-06,11.22823951,0
GeSb,JVASP-16206,Fm-3m,16,11.49770231,-5.812715647,11.49770389,-5.815060614
Er,JVASP-16335,Im-3m,16,20.15457995,-19.47458375,20.15458176,-19.4745842
Li3Tl,JVASP-15799,Fm-3m,14,17.17111958,-3.978565588,17.17112157,-3.97857502
RuO2,JVASP-36237,Fm-3m,24,17.594049,1.40E-06,17.59405676,0
Ta,JVASP-1014,Im-3m,12,9.458471111,-2.465310193,9.458479314,-2.465925827
Tl,JVASP-14822,P6_3/mmc,16,17.33374459,-3.699909025,17.33375756,-3.700651353
TlSb,JVASP-15708,Pm-3m,16,16.93408437,3.044069928,16.93410132,3.044028814
W,JVASP-1044,Im-3m,12,13.58888592,1.03E-06,13.58890712,0
SnS2,JVASP-131,P-3m1,20,9.97554796,2.44E-07,9.975571765,-1.223963682
ThH2,JVASP-36229,Fm-3m,16,8.625178681,3.17705132,8.625203461,3.176637397
Li2TlBi,JVASP-39685,Fm-3m,20,10.871617,-5.790538583,10.87164325,-5.80228775
LiPd,JVASP-15040,P-6m2,14,7.52359539,4.65E-06,7.523622336,0
As,JVASP-14603,R-3m,16,7.793566145,-9.233214129,7.793593521,-9.233265435
TcB,JVASP-36023,F-43m,20,28.24353798,6.01E-08,28.24356946,-1.670388184
Pt,JVASP-972,Fm-3m,12,9.133975197,9.30E-06,9.134013666,0
PbS,JVASP-260,I4/mmm,28,11.59683359,-1.664604186,11.59687226,-1.664804596
Ni,JVASP-943,Fm-3m,12,7.329090031,-1.21088229,7.329133334,-1.218828419
Al,JVASP-816,Fm-3m,8,21.75490019,-3.240664065,21.75494905,-3.240664449
RuC,JVASP-36402,F-43m,20,18.84225152,-3.96433981,18.84230787,-3.96637755
BiB,JVASP-36109,F-43m,16,9.536957324,-7.943912621,9.537018679,-7.944190206
C,JVASP-48,P6_3/mmc,32,17.36664373,-14.90083533,17.36670547,-14.90085747
