Formula,JARVIS-ID,spg_symbol,Nwan,vqe_max_val(eV),vqe_min_val(eV),np_max_vals(eV),np_min_vals(eV)
BeGaBr,JVASP-67158,I4mm,9,262.4123746,-0.000156854,262.4123851,-0.002128007
Be2CrBr,JVASP-67163,P4mm,12,197.671836,-32.61252564,197.6718361,-32.61252583
LiBeIn,JVASP-67166,I4mm,9,157.7600716,-4.27E-06,157.7600724,-2.87E-05
BeGaCo,JVASP-67188,P3m1,9,191.3007485,-1.59E-05,191.3007487,-0.000172854
Be2ZnCr,JVASP-67194,P4mm,12,267.3846831,-4.40E-06,267.3846835,-3.78E-05
YTiBe,JVASP-67204,P3m1,9,199.5169104,-2.03E-06,199.5169104,-3.97E-05
MgBeRh,JVASP-67213,I4mm,9,179.8871586,-0.000125518,179.8871588,-0.000670666
HfMnBe,JVASP-67214,I4mm,9,199.0726303,-3.12E-05,199.0726907,-0.000411405
MnBeGa,JVASP-67238,I4mm,9,135.8915568,-1.25E-05,135.8915569,-0.001037862
TaBeSn,JVASP-67244,I4mm,9,96.90666337,-8.39E-06,96.90666366,-0.000137361
HfBeSi,JVASP-67251,I4mm,9,172.2221427,-1.73E-05,172.2221429,-4.24E-05
BeGaP,JVASP-67253,I4mm,9,61.10248995,-1.839396699,61.10258765,-1.839403208
TiBeRh,JVASP-67265,P3m1,9,277.1623418,-3.82E-05,277.1623422,-0.000315503
TiBe2Se,JVASP-67270,P4mm,12,177.0730924,-0.000101428,177.0730926,-0.000745515
MgBeTc,JVASP-67271,I4mm,9,186.3980937,-4.37E-06,186.3980942,-0.00012288
Be2NiPt,JVASP-67276,P4mm,12,257.1432126,-7.32E-06,257.143213,-2.00E-05
HfBeV,JVASP-67277,I4mm,9,182.7948561,2.54E-07,182.794887,-1.12E-06
LiBeFe,JVASP-67279,P3m1,9,206.2590403,-2.96E-05,206.2590406,-0.000553807
Be2CrHg,JVASP-67282,P4/mmm,12,261.6118928,1.35E-05,261.6118961,-0.000786342
HfBe2Zn,JVASP-67292,P4mm,12,215.4557561,-2.55E-05,215.4557563,-7.05E-05
MnBe2Se,JVASP-67301,P4mm,12,206.2126945,-1.14E-05,206.2126947,-8.97E-05
CaMgBe,JVASP-67307,I4mm,9,99.01702039,-0.000211033,99.0170291,-0.000440118
HfBe2Fe,JVASP-67311,P4/mmm,12,218.3583426,-0.000566227,218.3583429,-0.001299431
BeGaSi,JVASP-67312,I4mm,9,105.8554431,-1.872158924,105.8554433,-1.872159184
CaBePb,JVASP-67313,I4mm,9,74.20590941,-2.29E-07,74.20591025,-0.000297547
YBeZn,JVASP-67314,I4mm,9,102.2752523,-1.77E-06,102.2752525,-3.69E-05
Be2FeSb,JVASP-67320,P4mm,12,227.6885854,-5.57E-07,227.6925048,-4.24E-05
Be2ZnFe,JVASP-67330,P4mm,12,278.1510532,-1.71E-05,278.1510537,-0.000831985
ScMnBe,JVASP-67353,P3m1,9,200.6692808,-0.002615862,200.6692811,-0.002920871
BeNbRu,JVASP-67356,I4mm,9,187.5582335,-2.29E-07,187.5582344,-2.18E-06
LiBeZn,JVASP-67362,I4mm,9,174.5739038,-0.000108081,174.5739554,-0.000538225
Be2CrIr,JVASP-67368,P4mm,12,258.9722482,-1.54E-05,258.9722486,-2.20E-05
BePIr,JVASP-67371,I4mm,9,148.7842188,-3.19E-06,148.7842189,-0.000101563
BeFeNi,JVASP-67381,I4mm,9,244.2317461,-0.000211636,244.2317475,-0.000700737
LiYBe,JVASP-67390,P-6m2,9,147.0904922,-2.15E-05,147.0905021,-0.000200951
BeNbFe,JVASP-67393,P3m1,9,293.746145,-6.45E-05,293.7461451,-0.000344085
LiBeSb,JVASP-67397,I4mm,9,277.226298,-7.66E-06,277.2262995,-7.37E-05
YTaBe2,JVASP-67411,P4/mmm,12,176.6228661,-1.89E-06,176.6228665,-9.96E-06
Be2VRu,JVASP-67418,P4mm,12,200.6943381,-1.60E-05,200.6943382,-2.68E-05
HfBeBi,JVASP-67420,I4mm,9,78.43865682,-4.52E-06,78.43865752,-4.77E-05
CaBeIn,JVASP-67428,I4mm,9,92.35666597,-4.05E-05,92.35666608,-0.000696763
BeTcW,JVASP-67430,P3m1,9,303.7254735,-6.75E-07,303.7254738,-8.31E-06
TiBe2Os,JVASP-67432,P4mm,12,193.5671891,-8.31E-06,193.5671923,-6.48E-05
Be2CoHg,JVASP-67440,P4mm,12,210.5040237,-4.83E-06,210.5040249,-5.86E-05
BeNbNi,JVASP-67442,I4mm,9,199.0270289,-6.29E-06,199.0270297,-8.01E-05
NaBeBr,JVASP-67446,P3m1,9,143.5323016,-2.829279854,143.5323019,-2.829294216
TaBeTc,JVASP-67462,I4mm,9,251.1986186,-1.12E-05,251.1986188,-5.26E-05
BeNbTc,JVASP-67463,I4mm,9,242.5918135,6.75E-08,242.5918136,-2.55E-05
BeInW,JVASP-67473,I4mm,9,139.6015726,4.73E-07,139.6015729,-0.000110642
BeCuBr,JVASP-67476,I4mm,9,110.7574618,-21.97309719,110.757462,-21.97309724
Be2VBr,JVASP-67477,P4mm,12,243.5725857,-2.65E-05,243.5728189,-0.000414686
TiBeV,JVASP-67501,I4mm,9,236.8791373,-4.95E-06,236.8791383,-8.86E-05
BeNiMo,JVASP-67520,I4mm,9,235.3354772,-3.72E-07,235.3354773,-9.07E-05
MnBe2Bi,JVASP-67524,P4mm,12,167.3415479,-1.180796016,167.3415481,-1.181275921
BeNbSi,JVASP-67530,I4mm,9,186.5432933,-4.58E-05,186.5432938,-0.000896679
ScBeV,JVASP-67538,I4mm,9,188.6667153,-9.93E-08,188.6667159,-6.60E-05
LiBeSi,JVASP-67543,I4mm,9,175.8913253,-0.000321687,175.8913257,-0.002651593
BeNiIr,JVASP-67545,I4mm,9,181.9860579,-1.04E-05,181.9860591,-4.44E-05
BeCdFe2,JVASP-67554,P4mm,12,173.9221773,-1.40E-06,173.9221783,-0.000554535
BeBiMo2,JVASP-67555,P4mm,12,185.9879749,-3.27E-06,185.9879756,-2.11E-05
BeHgSe,JVASP-67557,I4mm,9,131.9542943,-18.619698,131.9542944,-18.61970543
BeCdCo2,JVASP-67558,I-4m2,12,95.18269287,-0.000136455,95.18269526,-0.003549785
LiBeSi2,JVASP-67561,P4mm,12,345.3286646,-0.000637914,345.3286661,-0.002024819
BeSiTe,JVASP-67563,I4mm,9,136.0292891,-4.51E-05,136.029307,-0.004002063
LiTiBe2,JVASP-67568,P4/mmm,12,219.4059675,-23.32462322,219.4059679,-23.32462364
BeCo2Br,JVASP-67569,P4mm,12,220.1776667,-11.89787934,220.177667,-11.89787997
KMn2Be,JVASP-67570,P4mm,12,196.791425,-0.001296402,196.7915316,-0.001979366
BeGeTe,JVASP-67574,I4mm,9,29.61370008,-0.078409302,29.61370037,-0.07842676
BeGaCu,JVASP-67576,I4mm,9,109.2543352,-3.95E-05,109.2543354,-0.00058705
NaCaBe,JVASP-67578,I4mm,9,83.64060282,-3.17E-05,83.64060323,-0.002368897
NaBeIn,JVASP-67583,I4mm,9,65.61681845,-0.004691893,65.61690608,-0.005109658
CaBeOs2,JVASP-67584,F-43m,12,110.9327585,-8.10E-05,110.9327589,-0.001069512
LiBeFe,JVASP-67585,I4mm,9,204.4167115,-0.000551612,204.4167116,-0.001858492
ScBeRh,JVASP-67588,P-6m2,9,201.8255974,-4.11E-07,201.8256986,-2.11E-05
BeGaTc2,JVASP-67589,I-4m2,12,88.2681494,-3.05E-05,88.2681497,-5.10E-05
Ti2BeFe,JVASP-67590,P4mm,12,230.6910689,-0.000517686,230.6910691,-0.001745441
NaMnBe,JVASP-67591,I4mm,9,158.4353383,-8.46E-05,158.4353385,-0.001283396
BeCuSi,JVASP-67593,I4mm,9,125.8802289,-3.138806634,125.880229,-3.138807551
BeCdSb,JVASP-67596,I4mm,9,63.23254311,-9.158106654,63.23254369,-9.158107261
SrBeGe,JVASP-67597,I4mm,9,70.35633082,-3.70E-05,70.35633113,-0.002186112
NaBeRu2,JVASP-67600,F-43m,12,119.5488602,-7.35E-06,119.5488606,-9.88E-05
MgBeGe,JVASP-67601,I4mm,9,118.3202653,-7.83E-05,118.3202739,-0.000312519
BeNbRu2,JVASP-67604,P4mm,12,200.9416312,-3.82E-07,200.941635,-1.13E-05
BeInCl,JVASP-67608,I4mm,9,67.37974864,-79.94751017,67.37974889,-79.94751078
CaBeFe2,JVASP-67611,F-43m,12,118.1809251,-8.46E-05,118.1809256,-9.46E-05
YScBe,JVASP-67617,I4mm,9,129.0948669,-2.53E-07,129.0948669,-7.23E-05
BeVFe,JVASP-67619,I4mm,9,255.4500491,-5.47E-05,255.4500491,-0.000749283
LiBeV2,JVASP-67620,P4mm,12,177.2834193,-6.43E-06,177.2834197,-2.70E-05
TaBeCr,JVASP-67621,I4mm,9,280.7270169,-5.23E-07,280.7270179,-8.27E-06
SrScBe,JVASP-67623,I4mm,9,122.8280724,-8.66E-07,122.8281618,-1.13E-05
BeInOs2,JVASP-67624,P4mm,12,228.9662214,-8.76E-05,228.9662215,-0.000402964
BeTeIr,JVASP-67625,I4mm,9,207.8709974,-1.78E-05,207.8710174,-8.31E-05
BeTlBi,JVASP-67626,I4mm,9,46.84857907,-0.344223559,46.84857934,-0.34423359
BeGeTe2,JVASP-67628,P4mm,12,139.8807139,-62.14001981,139.8807141,-62.14002025
BeGePb,JVASP-67629,I4mm,9,45.72675448,-1.001337924,45.72675904,-1.0013457
Be2SnMo,JVASP-67635,P4mm,12,281.5083457,-5.30E-05,281.5084215,-0.000228238
BeAgW,JVASP-67636,I4mm,9,217.818782,-1.16E-05,217.8187867,-4.38E-05
BeBiPb,JVASP-67639,I4mm,9,56.63768895,-0.000301255,56.63768952,-0.000706336
Be2BiIr,JVASP-67644,P4/mmm,12,108.0644489,-57.18523881,108.0644507,-57.18525912
BeSiBr,JVASP-67647,I4mm,9,152.2076497,-2.715732124,152.2076507,-2.715747359
BeCrW,JVASP-67648,I4mm,9,286.7682827,-9.29E-07,286.7682838,-7.02E-05
NaBeGa,JVASP-67650,I4mm,9,92.56150413,-0.000148727,92.56150864,-0.000464678
BeCrHg,JVASP-67651,I4mm,9,111.006298,-2.79E-06,111.0062984,-7.26E-05
BeCrP2,JVASP-67654,P4mm,12,154.1058233,-0.000240866,154.1058236,-0.000805321
BeNbPb,JVASP-67656,I4mm,9,133.3861829,-2.06E-07,133.3861906,-3.41E-06
